Proteins,"0hr, -IFN","0hr, +IFN","1hr, -IFN","1hr, +IFN","3hr, -IFN","3hr, +IFN"
A0AVT1,1,0,0,0,1,0
A0FGR8,1,1,1,1,1,1
A1L390,1,0,0,0,1,0
A1X283,1,1,1,1,1,1
A3KN83,0,0,0,1,0,1
A5YKK6,0,0,1,0,0,0
Capsid,1,1,1,1,1,1
E1,1,1,1,1,1,1
E2,1,1,1,1,0,0
O00116,0,0,0,1,0,0
O00154,1,1,1,1,1,1
O00159,1,1,1,1,1,1
O00178,0,0,0,1,0,0
O00186,0,1,0,1,0,1
O00203,1,0,1,0,1,0
O00429,1,0,0,0,0,0
O00571,1,1,1,0,1,1
O00712,0,0,0,1,0,1
O14639,1,1,1,1,1,1
O14744,0,1,0,1,0,1
O15027,1,1,1,1,1,1
O15067,1,1,0,1,0,1
O15213,0,0,0,1,0,0
O15231,0,1,0,1,0,0
O15258,1,0,0,1,1,0
O15260,1,1,1,1,1,1
O15357,0,1,1,1,1,1
O15498,1,0,0,0,1,0
O43143,1,1,1,1,1,1
O43242,1,0,1,0,1,0
O43395,1,1,1,1,1,1
O43491,1,1,1,1,1,1
O43660,1,1,1,1,1,1
O43684,1,1,1,1,1,1
O43795,1,1,1,1,1,1
O43818,0,1,1,1,0,1
O60231,1,0,1,0,1,0
O60341,1,0,0,0,1,0
O60343,0,1,0,1,0,1
O60506,0,0,0,0,0,1
O60524,1,0,1,1,1,1
O60563,0,0,0,1,0,0
O60568,0,0,0,1,0,0
O60701,1,0,0,0,0,0
O60716,0,0,0,0,0,1
O60832,0,1,0,1,0,1
O60841,1,1,1,1,0,1
O60934,1,0,1,1,1,1
O75027,1,0,0,0,0,0
O75083,1,0,0,0,1,0
O75152,1,1,1,1,1,1
O75153,0,1,0,1,0,1
O75179,1,0,1,0,1,0
O75369,1,1,1,1,1,1
O75534,0,1,0,1,0,1
O75643,1,1,1,1,1,1
O75691,1,0,1,1,0,0
O75694,1,1,1,1,1,1
O75821,0,0,1,0,1,0
O75915,1,1,0,1,1,1
O76021,1,1,1,1,0,1
O76024,1,1,1,1,1,1
O94776,0,0,0,0,0,1
O94804,0,0,0,1,0,0
O94832,1,1,1,1,1,1
O94915,1,0,1,0,0,0
O94979,1,1,1,1,1,1
O95071,1,0,0,1,0,0
O95163,0,1,0,1,0,1
O95239,1,1,1,1,1,1
O95347,1,0,1,0,1,0
O95425,0,1,1,1,1,1
O95433,1,1,1,1,1,1
O95478,0,0,0,0,0,1
O95486,0,1,0,1,0,1
O95487,1,1,0,1,1,1
O95613,0,0,0,1,0,1
O95793,0,0,0,1,0,0
O95864,0,1,0,1,0,1
O96008,1,0,1,0,1,0
P00338,1,1,1,1,1,1
P00519,0,1,0,0,0,1
P00558,0,0,0,0,1,1
P00966,0,1,1,1,1,1
P02452,1,1,1,1,1,1
P02751,1,1,1,1,1,1
P02786,1,1,1,1,1,1
P03886,1,0,0,0,0,0
P04075,1,0,1,0,1,0
P04406,1,1,1,1,1,1
P04843,1,1,1,1,1,1
P05023,0,1,0,1,1,1
P05141,1,1,1,1,1,1
P06396,1,1,1,1,1,1
P06400,0,0,0,0,1,0
P06733,1,0,1,1,1,1
P06748,1,1,1,1,1,1
P07195,1,1,1,1,1,1
P07355,0,1,0,0,0,1
P07437,0,1,0,1,0,1
P07737,1,1,1,1,1,1
P07814,1,1,1,1,1,1
P08195,1,1,1,1,1,1
P08238,1,1,1,1,1,1
P08240,1,0,1,0,1,1
P08572,1,1,1,1,1,1
P09651,1,1,1,1,1,1
P09874,1,1,1,1,1,1
P11142,1,1,0,1,1,1
P11166,1,1,1,1,1,1
P11388,1,1,1,1,1,1
P11413,1,1,1,1,1,1
P11586,0,1,1,1,0,1
P12236,1,0,1,0,1,1
P12270,1,1,1,1,1,1
P12955,0,1,0,1,0,1
P12956,1,1,0,1,0,1
P13010,1,1,1,1,1,1
P13639,1,1,1,1,1,1
P13717,0,0,0,0,0,1
P13798,0,0,0,0,0,1
P14618,1,1,1,1,1,1
P14866,1,1,1,1,1,1
P14868,1,1,1,1,1,1
P14923,0,0,0,0,0,1
P15311,1,1,0,0,1,0
P15924,0,1,0,1,0,1
P16615,1,1,1,1,0,1
